name,id_production_companies,id_movies
New Line Cinema,12.0,1909
American Zoetrope,70.0,1909
Warner Bros.,6194.0,8984
Baltimore Pictures,11407.0,8984
Keystone Pictures,15709.0,61813
Dream Man Productions Inc,52095.0,61813
Paramount Pictures,4.0,4954
Savoy Pictures,11308.0,62488
Rysher Entertainment,11661.0,62488
Fine Line Features,8.0,10531
Channel Four Films,181.0,10531
Capitol Films,826.0,10531
TF1 Films Production,3823.0,10531
Canal+,5358.0,10531
Flach Film,8277.0,10531
Les Films de l'Astre,68141.0,10531
Castle Rock Entertainment,97.0,11929
Columbia Pictures Corporation,441.0,11929
New Line Cinema,12.0,8467
Motion Picture Corporation of America (MPCA),11061.0,8467
Ang Lee Productions,5528.0,10451
Good Machine,10565.0,10451
Central Motion Pictures,25345.0,10451
Miramax Films,14.0,20156
Alliance Entertainment,10166.0,20156
Ego Film Arts,12800.0,20156
Savoy Pictures,11308.0,18395
Touchstone Pictures,9195.0,522
Twentieth Century Fox Film Corporation,306.0,397
PolyGram Filmed Entertainment,1382.0,397
Working Title Films,10163.0,397
Prufrock Pictures,34207.0,397
Columbia Pictures,5.0,10525
Castle Rock Entertainment,97.0,10525
Twentieth Century Fox Film Corporation,306.0,27985
Walt Disney Pictures,2.0,15789
TriStar Pictures,559.0,27303
Metro-Goldwyn-Mayer,21.0,21183
Italian International Film,1429.0,10954
Stéphan Films,2359.0,10954
MG,37581.0,10954
Miramax Films,14.0,72031
Fine Line Features,8.0,14275
Kartemquin Films,13042.0,14275
WingNut Films,11.0,1024
Miramax Films,14.0,1024
New Zealand Film Commission,294.0,1024
Fontana Productions,2306.0,1024
Caravan Pictures,175.0,17207
Hollywood Pictures,915.0,17207
Columbia Pictures,5.0,13701
Majestic Films International,2630.0,13701
Icon Entertainment International,4564.0,13701
Walt Disney Pictures,2.0,14819
Caravan Pictures,175.0,14819
Universal Pictures,33.0,32631
Bregman/Baer Productions,11393.0,32631
Paramount Pictures,4.0,11777
Geffen Pictures,360.0,628
Merchant Ivory Productions,2370.0,87729
Touchstone Pictures,9195.0,87729
Caravan Pictures,175.0,18713
Touchstone Pictures,9195.0,18713
Universal Pictures,33.0,6280
Northern Lights Entertainment,8816.0,6280
Fountainbridge Films,414.0,9061
Warner Bros.,6194.0,9061
Lee Rich Productions,36854.0,9061
Walt Disney Pictures,2.0,37108
Trimark Pictures,4063.0,37108
Twentieth Century Fox Film Corporation,306.0,6071
Lucasfilm,1.0,11
Twentieth Century Fox Film Corporation,306.0,11
Columbia Pictures,5.0,9587
Warner Bros.,6194.0,19101
Channel Four Films,181.0,49980
Parallax Pictures,983.0,49980
MK2 Productions,9209.0,17961
Aviacsa,84803.0,18183
Cinevista,84804.0,18183
Bedford Falls Productions,348.0,4476
TriStar Pictures,559.0,4476
Pangaea,1656.0,4476
Universal Pictures,33.0,11008
Fine Line Features,8.0,47504
New Line Cinema,12.0,47504
Live Entertainment,285.0,47504
Channel Four Films,181.0,32325
Cineville,2832.0,32325
Home Box Office (HBO),3268.0,32325
Showcase Entertaiment Inc.,36836.0,32325
Warner Bros.,6194.0,43742
Paramount Pictures,4.0,28313
Channel Four Films,181.0,11318
Samuel Goldwyn Company,798.0,11318
Close Call Films,23022.0,11318
American Zoetrope,70.0,3036
TriStar Pictures,559.0,3036
Walt Disney Pictures,2.0,40490
TriStar Pictures,559.0,24070
Paramount Pictures,4.0,8986
The Kennedy/Marshall Company,862.0,8986
Twentieth Century Fox Film Corporation,306.0,10510
Hollywood Pictures,915.0,17402
American Zoetrope,70.0,38722
American Playhouse,3906.0,38722
